listing_id,nb_reviews,neg_proprete,pct_proprete,neg_bruit,pct_bruit,neg_confort_literie,pct_confort_literie,neg_temperature,pct_temperature,neg_accueil,pct_accueil
6518154,12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6524290,68,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6525138,37,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6538200,123,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6546051,25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6555236,116,2,1.7,1,0.9,0,0.0,0,0.0,0,0.0
6564330,130,0,0.0,2,1.5,0,0.0,0,0.0,0,0.0
6579523,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6580650,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6582069,57,0,0.0,2,3.5,0,0.0,0,0.0,0,0.0
6585844,53,0,0.0,1,1.9,0,0.0,0,0.0,0,0.0
6588306,39,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6588920,172,2,1.2,2,1.2,0,0.0,1,0.6,0,0.0
6595272,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6607227,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6619077,22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6619975,162,4,2.5,3,1.9,0,0.0,0,0.0,0,0.0
6620490,20,1,5.0,0,0.0,0,0.0,0,0.0,0,0.0
6633422,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6636427,49,1,2.0,0,0.0,0,0.0,1,2.0,0,0.0
6638942,70,1,1.4,0,0.0,0,0.0,0,0.0,0,0.0
6649340,123,1,0.8,1,0.8,0,0.0,0,0.0,0,0.0
6649997,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6655354,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6679113,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
